"artist_id","isrc"
"3Me35AWHCGqW4sZ7bWWJt1","USA2P2357356"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72400048"
"45dkTj5sMRSjrmBSBeiHym","USRC12301932"
"2uYWxilOVlUdk4oV9DvwqK","USJ5G2335007"
"2LIk90788K0zvyj2JJVwkJ","USAT22311371"
"1Xyo4u8uXC1ZmMpatF05PJ","USUG12303881"
"250b0Wlc5Vk0CoUsaCY84M","USUG12303881"
"1pBLC0qVRTB5zVMuteQ9jJ","USUG12303881"
"06HL4z0CvFAxyc27GXpf02","USUG11901472"
"3Me35AWHCGqW4sZ7bWWJt1","USA2P2339944"
"2RQXRUsr4IW1f3mKyKsy4B","USUM72212470"
"1U1el3k54VvEUzo3ybLPlM","USUM72315072"
"12GqGscKJx3aE4t07u7eVZ","USUM72315072"
"1URnnhqYAYcrqrcwql10ft","USSM12309164"
"1URnnhqYAYcrqrcwql10ft","USSM12309168"
"0Y5tJX1MQlPlqiwlOH1tJY","USSM12309168"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12309168"
"3TVXtAsR1Inumwj472S9r4","USUG12306085"
"3DbwFQlvLxRSi2uX8mf81A","USUG12306085"
"7tYKF4w9nC0nq9CsPZTHyP","USUG12306085"
"7tYKF4w9nC0nq9CsPZTHyP","USRC12204591"
"2LRoIwlKmHjgvigdNGBHNo","USUM72318216"
"7jAs1uPnpfNmT6e5qtEPxq","USUM72318216"
"22wbnEMDvgVIAGdFeek6ET","USWB12307016"
"181bsRPaVXVlUKXrxwZfHK","USAT22400675"
"7tjVFCxJdwT4NdrTmjyjQ6","USUG12307428"
"4oUHIQIBe0LHzYfvXNW4QM","TCACR1657450"
"0pWR7TsFhvSCnbmHDjWgrE","JPU902305042"
"0hCNtLu0JehylgoiP8L4Gh","USUM72400872"
"0n4Fao9kbjgM76RmVlfSwr","CH7811111177"
"40ZNYROS4zLfyyBSs2PGe2","USWB12304903"
"70kkdajctXSbqSMJbQO424","USWB12304903"
"2bA6fzP0lMAQ4kz6CF61w8","USPR39402268"
"5YGY8feqx7naU7z4HrwZM6","USSM12209777"
"23xFbA9rYgRX8mreqysWPc","USQX92400087"
"5K4W6rqBFWDnAN6FQUkS6x","QZ7XS2400012"
"7c0XG5cIJTrrAgEC3ULPiq","QZ7XS2400012"
"5K4W6rqBFWDnAN6FQUkS6x","QZ7XS2400010"
"7c0XG5cIJTrrAgEC3ULPiq","QZ7XS2400010"
"5K4W6rqBFWDnAN6FQUkS6x","QZ7XS2400001"
"7c0XG5cIJTrrAgEC3ULPiq","QZ7XS2400001"
"5K4W6rqBFWDnAN6FQUkS6x","QZ7XS2400005"
"7c0XG5cIJTrrAgEC3ULPiq","QZ7XS2400005"
"5K4W6rqBFWDnAN6FQUkS6x","QZ7XS2400009"
"7c0XG5cIJTrrAgEC3ULPiq","QZ7XS2400009"
"5K4W6rqBFWDnAN6FQUkS6x","QZ7XS2400004"
"7c0XG5cIJTrrAgEC3ULPiq","QZ7XS2400004"
"23zg3TcAtWQy7J6upgbUnj","USAR10301423"
"7sfl4Xt5KmfyDs2T3SVSMK","USAR10301423"
"3ipn9JLAPI5GUEo4y4jcoi","USAR10301423"
"6vWDO969PvNqNYHIOW5v0m","USSM12401302"
"6vWDO969PvNqNYHIOW5v0m","USSM12401304"
"4xPQFgDA5M2xa0ZGo5iIsv","QZ7XS2400012"
"4xPQFgDA5M2xa0ZGo5iIsv","QZ7XS2400010"
"4xPQFgDA5M2xa0ZGo5iIsv","QZ7XS2400005"
"6M2wZ9GZgrQXHCFfjv46we","GBAHT2301078"
"33qOK5uJ8AR2xuQQAhHump","USWB12302315"
"2EMAnMvWE2eb56ToJVfCWs","USRC12400299"
"1pPmIToKXyGdsCF6LmqLmI","QZ7XS2400012"
"699OTQXzgjhIYAHMy9RyPD","QZ7XS2400012"
"7tYKF4w9nC0nq9CsPZTHyP","USRC12400216"
"5p9HO3XC5P3BLxJs5Mtrhm","GBKPL2205058"
"7CvTknweLr9feJtRGrpDBy","QZL382406049"
"1Yj5Xey7kTwvZla8sqdsdE","QZL382406049"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317276"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317269"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317268"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317272"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317273"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317270"
"66CXWjxzNUsdJxJ2JdwvnR","USUM72317274"
"3JsHnjpbhX4SnySpvpa9DK","USA2P2411822"
"3DbwFQlvLxRSi2uX8mf81A","QZSYP2454435"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402041"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402041"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402033"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402033"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402040"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402040"
"2FXC3k01G6Gw61bmprjgqS","IEACJ2300335"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402034"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402034"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402029"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402029"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402037"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402037"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402043"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402043"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402035"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402035"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402031"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402031"
"1RyvyyTE3xzB2ZywiAwp0i","USSM12402036"
"0iEtIxbK0KxaSlF7G42ZOp","USSM12402036"
"2YZyLoL8N0Wb9xBt1NhZWg","USSM12402041"
